what is the name of justin bieber brother	3
when was the last time the oakland raiders won the super bowl	1
who was judy garland married to	4
what money is used in mozambique	0
what is the second percy jackson book called	1
which legend of zelda game is the first	1
who does dominic monaghan play in lord of the rings	4
what sea does the yangtze river empty into	0
where was nicki minaj born	0
where are the headquarters of the united nations organization found	2
what college did steve jobs attend	3
what did writers of the harlem renaissance write about	1
what is charlie sheen 's dad 's name	1
who is playing bilbo baggins	2
what college did jerry rice attend	3
what is jonas brothers names	2
what brand of guitar does steve vai play	1
what children 's books did suzanne collins wrote	1
what club does ronaldinho play for 2012	2
what did rob kardashian get surgery for	1
what cities are in oakland county michigan	1
what was omar epps first movie	3
who is andy williams brother	3
who has coached the minnesota vikings	2
what states does the connecticut river flow through	1
who did john paul jones fight for	2
who all has kim kardashian dated	2
what all does google have	2
who plays mary jane in spiderman 3	4
who plays the voice of kovu	4
who was the voice of nemo 's dad	4
when did shaq come to the nba	4
what did obama study in school	2
what drugs does charlie sheen do	2
who plays walter in fringe	4
what drugs were in whitney houston when she died	1
what countries share borders with france	3
what team does kareem abdul jabbar play for	2
what was tupac name in juice	4
what company did verizon used to be	2
what team did kaka play for in 2009	2
where does the zambezi river begin	0
when was the last dallas cowboys super bowl win	1
what is st mary mascot	0
who did george wendt play on cheers	4
in what modern country is the yucatan peninsula located	1
where did william mckinley go to high school	3
what year did edgar allan poe go to college	3
where did marco rubio go to college	3
what did nick clegg study at university	2
where did wassily kandinsky work	2
who played carlton banks	2
where did c.s. lewis go to college	3
where did alex smith play high school football	3
who stars in the movie fred claus	2
where do audi come from	2
who is queen elizabeth 1 father	1
where did martin luther king junior go to college	3
which states does the mississippi river pass through	1
what teams did manny ramirez play for	2
what continent is greenland apart of	1
where is mark sanchez now	2
what is george washington 's hometown	0
where did buzz williams go to college	3
where do you fly into for destin	3
in what city did machiavelli live	3
what college did peyton manning	3
who is prime minister of japan 2011	4
where are they now jessica mcclure	2
what is south america made up of	1
where in georgia does usher live	3
what is saint nicholas known for	0
