what country does <e> come under,0
what language did the <e>,0
what to do in <e>,0
what films did <e> direct,0
which states does the <e> pass through,1
what currency should i take to <e>,0
who was <e> married too,3
what is the name of book written by <e>,1
what countries does <e> own,1
what is the currency name of <e>,0
what college did <e> play for,3
who won 2001 <e>,3
what movies did <e> play in,2
who is playing jason morgan on <e>,3
who played <e>,2
where <e> was born,0
what is <e>,0
what is <e> famous for,0
what does <e> believe,0
what is the currency used in <e>,0
where does <e> end,0
what did <e> say on the moon,0
where is the <e> located,0
when was the last time <e> invaded another country,2
what did <e> od on,1
what type of currency does the <e> have,0
what three continents touch the <e>,3
where is <e>,0
where is <e> headquarters located,2
what kind of music does <e> play,0
what is <e> famous for,0
what did <e> star in,2
which wife did <e> behead,3
who is the owner of the <e>,3
what language do they <e>,0
what is <e> 's real name,2
what college did <e> attend,3
who has <e> played for,2
what is the state flag of <e> called,2
what was <e> famous for,0
what 's <e> country code,0
who was <e> in crazy stupid love,3
in what state did the bloody <e> take place,0
what other languages does <e> speak,0
where does lala <e> live,2
where is the <e> located,0
when are the <e> held,0
what kind of currency does <e> have,0
what war did <e> help win,2
where did <e> go to college,3
who controls <e>,3
where was president <e> from,0
who is <e> and what did he do,0
what kind of language do <e> speak,0
what movies has <e> been in,2
what are the <e>,0
what channel is the mtv <e> on,0
who plays jacob black in the <e>,3
who does <e> play in 24,3
what did <e> do for a living,0
where does <e> live in star wars,0
what city has the largest population in <e>,1
what state is <e> located,1
who played danielle rousseau on <e>,3
who <e>,0
where is <e> nsw,0
what kind of money does <e>,0
who is playing <e>,2
where is washington d.c. at,1
where was emperor <e> born,0
who does <e> play for,2
where was the <e> campaign waged,0
who plays young lex luthor in <e>,3
what inventions did <e> made,0
what college did harry s. truman attend,3
who did the <e> draft,2
what utc time zone is <e>,0
what date did the <e> happen,0
where is the <e> located,0
what college did <e>,3
what instrument does <e> play,0
what instrument does <e>,2
when did the <e> win their first championship,1
who invented <e> code,0
where did <e> go to prep school,3
what planet did princess <e> call home,0
what character does <e> play in finding nemo,3
what movies did <e> play in,2
what did <e> contribute to the industrial revolution,0
which continent is <e> located,0
where do the <e> play,0
what is the president of <e>,3
what is <e>,0
where is <e>,0
what to do if you have one day in <e>,0
who does the voice of lois in <e>,3
who plays the voice of meg in <e>,3
what timezone is <e> usa,0
what has <e> played in,2
who is my state senator and representative <e>,3
who was the vice president when <e> was in office,0
where to stay in <e>,0
who the voice of <e>,3
what war was <e> associated with,2
what are the major imports of the <e>,2
who is <e> dating now in 2012,3
what were some inventions of <e>,0
what to see in downtown <e>,0
what is <e> in,2
where did <e> go to high school,3
who are <e> 's parents names,0
who was the wife of <e>,3
what does <e> export,2
what is the legislature of <e> called,0
where was <e> originally from,0
who won <e> season 5,0
what language do <e> speak,0
where did the <e> originate,0
what are <e> 's parents names,0
what language do they speak in <e>,0
who are the judges on the <e>,2
what countries are in the <e>,1
who was sworn into office when <e> was assassinated,0
where do you fly into for <e>,3
what language do people speak in <e>,0
what company did <e> used to be,2
where is <e> grave,0
what planet was <e> raised on,0
who created the character of <e>,0
what division is <e> in,0
where does <e> teach,2
what is the local currency in the <e>,0
where are the <e> on a world map,0
who is <e> sister,3
where to go in <e>,0
what school did <e> go to,2
who will <e> play for in 2013,2
what time zone is <e> under,0
who won <e> elections 2012,2
who was <e> 's parents called,0
who was <e> and what did he do,0
what characters does <e> voice,3
what city was <e> killed in,0
who does <e> think her father is,1
what is the name of the <e> state tree,3
where is <e> located,0
what do the <e> believe in,0
what is the timezone in <e> called,0
what part does seth macfarlane play in <e>,3
what is <e> 's daughters name,0
what is <e> real name,0
what type of guitar does <e> play,1
who is <e>,0
who played <e>,2
who is the head coach of the <e>,0
who does <e> play for,2
what is a city in <e>,1
what country is <e> from,0
what date did <e> become president,3
who was <e> teacher,0
what year were the <e> founded,0
what did <e> die of,0
what are the names of <e> brothers and sisters,2
who did <e> retire with,3
